judging O -1
from O -1
previous O -1
posts O -1
this O -1
used O -1
to O -1
be O -1
a O -1
good O -1
place B-ASP 0
, O -1
but O -1
not O -1
any O -1
longer O -1
. O -1

we O -1
, O -1
there O -1
were O -1
four O -1
of O -1
us O -1
, O -1
arrived O -1
at O -1
noon O -1
- O -1
the O -1
place O -1
was O -1
empty O -1
- O -1
and O -1
the O -1
staff B-ASP 0
acted O -1
like O -1
we O -1
were O -1
imposing O -1
on O -1
them O -1
and O -1
they O -1
were O -1
very O -1
rude O -1
. O -1

the O -1
food B-ASP 0
was O -1
lousy O -1
- O -1
too O -1
sweet O -1
or O -1
too O -1
salty O -1
and O -1
the O -1
portions B-ASP -1
tiny O -1
. O -1

the O -1
food B-ASP -1
was O -1
lousy O -1
- O -1
too O -1
sweet O -1
or O -1
too O -1
salty O -1
and O -1
the O -1
portions B-ASP 0
tiny O -1
. O -1

avoid O -1
this O -1
place B-ASP 0
! O -1

i O -1
have O -1
eaten O -1
at O -1
saul O -1
, O -1
many O -1
times O -1
, O -1
the O -1
food B-ASP 2
is O -1
always O -1
consistently O -1
, O -1
outrageously O -1
good O -1
. O -1

saul B-ASP 2
is O -1
the O -1
best O -1
restaurant O -1
on O -1
smith O -1
street O -1
and O -1
in O -1
brooklyn O -1
. O -1

the O -1
duck B-ASP -1
confit I-ASP -1
is O -1
always O -1
amazing O -1
and O -1
the O -1
foie B-ASP 2
gras I-ASP 2
terrine I-ASP 2
with I-ASP 2
figs I-ASP 2
was O -1
out O -1
of O -1
this O -1
world O -1
. O -1

the O -1
duck B-ASP 2
confit I-ASP 2
is O -1
always O -1
amazing O -1
and O -1
the O -1
foie B-ASP -1
gras I-ASP -1
terrine I-ASP -1
with I-ASP -1
figs I-ASP -1
was O -1
out O -1
of O -1
this O -1
world O -1
. O -1

the O -1
wine B-ASP 2
list I-ASP 2
is O -1
interesting O -1
and O -1
has O -1
many O -1
good O -1
values O -1
. O -1

i O -1
was O -1
very O -1
disappointed O -1
with O -1
this O -1
restaurant B-ASP 0
. O -1

i O -1
ve O -1
asked O -1
a O -1
cart B-ASP 0
attendant I-ASP 0
for O -1
a O -1
lotus O -1
leaf O -1
wrapped O -1
rice O -1
and O -1
she O -1
replied O -1
back O -1
rice O -1
and O -1
just O -1
walked O -1
away O -1
. O -1

food B-ASP 1
was O -1
okay O -1
, O -1
nothing O -1
great O -1
. O -1

chow B-ASP 0
fun I-ASP 0
was O -1
dry O -1
; O -1
pork B-ASP -1
shu I-ASP -1
mai I-ASP -1
was O -1
more O -1
than O -1
usually O -1
greasy O -1
and O -1
had O -1
to O -1
share O -1
a O -1
table O -1
with O -1
loud O -1
and O -1
rude O -1
family O -1
. O -1

chow B-ASP -1
fun I-ASP -1
was O -1
dry O -1
; O -1
pork B-ASP 0
shu I-ASP 0
mai I-ASP 0
was O -1
more O -1
than O -1
usually O -1
greasy O -1
and O -1
had O -1
to O -1
share O -1
a O -1
table O -1
with O -1
loud O -1
and O -1
rude O -1
family O -1
. O -1

i O -1
/ O -1
we O -1
will O -1
never O -1
go O -1
back O -1
to O -1
this O -1
place B-ASP 0
again O -1
. O -1

went O -1
on O -1
a O -1
3 O -1
day O -1
oyster O -1
binge O -1
, O -1
with O -1
fish B-ASP 2
bringing O -1
up O -1
the O -1
closing O -1
, O -1
and O -1
i O -1
am O -1
so O -1
glad O -1
this O -1
was O -1
the O -1
place O -1
it O -1
o O -1
trip O -1
ended O -1
, O -1
because O -1
it O -1
was O -1
so O -1
great O -1
! O -1

service B-ASP 2
was O -1
devine O -1
, O -1
oysters B-ASP -1
where O -1
a O -1
sensual O -1
as O -1
they O -1
come O -1
, O -1
and O -1
the O -1
price O -1
ca O -1
n't O -1
be O -1
beat O -1
! O -1
! O -1
! O -1

service B-ASP -1
was O -1
devine O -1
, O -1
oysters B-ASP 2
where O -1
a O -1
sensual O -1
as O -1
they O -1
come O -1
, O -1
and O -1
the O -1
price O -1
ca O -1
n't O -1
be O -1
beat O -1
! O -1
! O -1
! O -1

every O -1
time O -1
in O -1
new O -1
york O -1
i O -1
make O -1
it O -1
a O -1
point O -1
to O -1
visit O -1
restaurant B-ASP 2
saul I-ASP 2
on O -1
smith O -1
street O -1
. O -1

everything O -1
is O -1
always O -1
cooked O -1
to O -1
perfection O -1
, O -1
the O -1
service B-ASP 2
is O -1
excellent O -1
, O -1
the O -1
decor B-ASP -1
cool O -1
and O -1
understated O -1
. O -1

everything O -1
is O -1
always O -1
cooked O -1
to O -1
perfection O -1
, O -1
the O -1
service B-ASP -1
is O -1
excellent O -1
, O -1
the O -1
decor B-ASP 2
cool O -1
and O -1
understated O -1
. O -1

i O -1
had O -1
the O -1
duck B-ASP 2
breast I-ASP 2
special I-ASP 2
on O -1
my O -1
last O -1
visit O -1
and O -1
it O -1
was O -1
incredible O -1
. O -1

the O -1
food B-ASP 0
is O -1
very O -1
average O -1
... O -1
the O -1
thai B-ASP -1
fusion I-ASP -1
stuff I-ASP -1
is O -1
a O -1
bit O -1
too O -1
sweet O -1
, O -1
every O -1
thing O -1
they O -1
serve O -1
is O -1
too O -1
sweet O -1
here O -1
. O -1

the O -1
food B-ASP -1
is O -1
very O -1
average O -1
... O -1
the O -1
thai B-ASP 0
fusion I-ASP 0
stuff I-ASP 0
is O -1
a O -1
bit O -1
too O -1
sweet O -1
, O -1
every O -1
thing O -1
they O -1
serve O -1
is O -1
too O -1
sweet O -1
here O -1
. O -1

the O -1
only O -1
thing O -1
i O -1
moderately O -1
enjoyed O -1
was O -1
their O -1
grilled B-ASP 2
chicken I-ASP 2
special I-ASP 2
with I-ASP 2
edamame I-ASP 2
puree I-ASP 2
. O -1

i O -1
had O -1
never O -1
had O -1
edamame B-ASP 2
pureed I-ASP 2
before O -1
but O -1
i O -1
thought O -1
it O -1
was O -1
innovative O -1
and O -1
tasty O -1
( O -1
could O -1
've O -1
used O -1
a O -1
bit O -1
more O -1
salt O -1
) O -1
. O -1

the O -1
decor B-ASP -1
is O -1
night O -1
tho O -1
... O -1
but O -1
they O -1
really O -1
need O -1
to O -1
clean O -1
that O -1
vent B-ASP -1
in O -1
the O -1
ceiling O -1
... O -1
its O -1
quite O -1
un O -1
- O -1
appetizing O -1
, O -1
and O -1
kills O -1
your O -1
effort O -1
to O -1
make O -1
this O -1
place B-ASP 0
look O -1
sleek O -1
and O -1
modern O -1
. O -1

the O -1
decor B-ASP 2
is O -1
night O -1
tho O -1
... O -1
but O -1
they O -1
really O -1
need O -1
to O -1
clean O -1
that O -1
vent B-ASP -1
in O -1
the O -1
ceiling O -1
... O -1
its O -1
quite O -1
un O -1
- O -1
appetizing O -1
, O -1
and O -1
kills O -1
your O -1
effort O -1
to O -1
make O -1
this O -1
place B-ASP -1
look O -1
sleek O -1
and O -1
modern O -1
. O -1

the O -1
decor B-ASP -1
is O -1
night O -1
tho O -1
... O -1
but O -1
they O -1
really O -1
need O -1
to O -1
clean O -1
that O -1
vent B-ASP 0
in O -1
the O -1
ceiling O -1
... O -1
its O -1
quite O -1
un O -1
- O -1
appetizing O -1
, O -1
and O -1
kills O -1
your O -1
effort O -1
to O -1
make O -1
this O -1
place B-ASP -1
look O -1
